"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.129119243E2,6.501123478E1,2.546451006E1,1.703398103E1,1.450000048E0,3.062000122E2,4.327000141E0,5.582868576E0
1.139132596E2,6.501124368E1,2.546448961E1,1.556193029E1,1.440000057E0,3.062999878E2,4.405998230E0,5.834382534E0
1.149098716E2,6.501125507E1,2.546446653E1,1.598215135E1,1.450000048E0,3.061000061E2,4.375000954E0,5.978170872E0
1.159145080E2,6.501126480E1,2.546444426E1,1.495370368E1,1.460000038E0,2.948999939E2,4.116296291E0,5.628213882E0
1.169138141E2,6.501127303E1,2.546442492E1,1.476967818E1,1.440000057E0,3.025000000E2,4.198970795E0,5.594680786E0
1.179147062E2,6.501128238E1,2.546440396E1,1.569423367E1,1.440000057E0,3.078999939E2,4.169399261E0,5.561907291E0
1.189132187E2,6.501129325E1,2.546438710E1,1.567939678E1,1.360000014E0,3.097999878E2,3.953020096E0,5.325772285E0
1.199114821E2,6.501130371E1,2.546436063E1,1.641620732E1,1.440000057E0,3.097000122E2,4.079432964E0,5.468275547E0
1.209111538E2,6.501131313E1,2.546433301E1,1.678912658E1,1.429999948E0,3.076000061E2,4.108127117E0,5.614118576E0
1.219133001E2,6.501132116E1,2.546430316E1,1.680584505E1,1.429999948E0,3.046000061E2,4.317993164E0,6.116066933E0
1.229130506E2,6.501132577E1,2.546426849E1,1.808214701E1,1.379999995E0,2.995000000E2,4.260486126E0,6.369405746E0
1.239110572E2,6.501132253E1,2.546421915E1,1.746538457E1,1.419999957E0,2.938999939E2,4.316446781E0,6.407854080E0
1.249144717E2,6.501131899E1,2.546417263E1,1.626671326E1,1.440000057E0,2.975000000E2,4.093031883E0,6.093222141E0
1.259145923E2,6.501131816E1,2.546412420E1,1.639268676E1,1.600000024E0,3.003999939E2,3.942244768E0,5.602396488E0
1.269142625E2,6.501132043E1,2.546407891E1,1.687351770E1,1.570000052E0,3.015000000E2,3.877520084E0,5.276562214E0
1.279151544E2,6.501132179E1,2.546403571E1,1.628019141E1,1.509999990E0,3.001000061E2,3.790092468E0,4.883734703E0
1.289094498E2,6.501132339E1,2.546399870E1,1.573966088E1,1.470000029E0,3.022000122E2,3.790092468E0,4.490820408E0
1.299096078E2,6.501132470E1,2.546396644E1,1.454086662E1,1.440000057E0,3.027999878E2,3.790092468E0,4.436184883E0
1.309135228E2,6.501132699E1,2.546393294E1,1.319644202E1,1.539999962E0,3.115000000E2,3.790092468E0,4.138118267E0
1.319142032E2,6.501133009E1,2.546390126E1,1.297225649E1,1.419999957E0,3.081000061E2,3.790092468E0,4.046058178E0
1.329141191E2,6.501133362E1,2.546387552E1,1.293471672E1,1.399999976E0,3.127000122E2,3.790092468E0,4.106045246E0
1.339157520E2,6.501133797E1,2.546385133E1,1.228896141E1,1.470000029E0,3.127000122E2,3.790092468E0,3.907353640E0
1.349121634E2,6.501134063E1,2.546382524E1,1.168501570E1,1.440000057E0,2.993999939E2,3.790092468E0,3.675076008E0
1.359100442E2,6.501134377E1,2.546379781E1,1.142652869E1,1.460000038E0,2.992000122E2,3.790092468E0,3.518165350E0
1.369146467E2,6.501135054E1,2.546377172E1,1.158222495E1,1.500000000E0,3.082999878E2,3.790092468E0,3.416056156E0
1.379138302E2,6.501135695E1,2.546374183E1,1.143262323E1,1.580000043E0,3.015000000E2,3.790092468E0,3.170810938E0
1.389136772E2,6.501136169E1,2.546371076E1,1.092651573E1,1.490000010E0,2.951000061E2,3.790092468E0,3.033515453E0
1.399143171E2,6.501136852E1,2.546368525E1,1.078722909E1,1.580000043E0,3.047000122E2,3.790092468E0,3.081035376E0
1.409121167E2,6.501137803E1,2.546366007E1,1.071623979E1,1.590000033E0,3.067999878E2,3.790092468E0,3.259248018E0
1.419113355E2,6.501138810E1,2.546363757E1,1.061857810E1,1.519999981E0,3.163999939E2,3.790092468E0,3.551571131E0
1.429121403E2,6.501139770E1,2.546361603E1,1.071659536E1,1.509999990E0,3.143999939E2,3.790092468E0,3.926974773E0
1.439117792E2,6.501140919E1,2.546359869E1,1.065366248E1,1.519999981E0,3.212999878E2,3.790092468E0,4.422741890E0
1.449141122E2,6.501141876E1,2.546357515E1,1.108682366E1,1.500000000E0,3.115000000E2,3.790092468E0,4.673792362E0
1.459134900E2,6.501142730E1,2.546355142E1,1.118728258E1,1.490000010E0,3.061000061E2,3.790092468E0,4.768263340E0
1.469135412E2,6.501144282E1,2.546353972E1,1.085756388E1,1.889999986E0,3.446000061E2,3.859521866E0,5.109788418E0
